from,to,timestamp,value
u_A281NPSIMI1C2R,i_B0000535UX,1023840000,5.0
u_A281NPSIMI1C2R,i_B0000535UM,1024185600,5.0
u_A281NPSIMI1C2R,i_B0000535UN,1024185600,5.0
u_AWIF8AR75LL9L,i_B000065DK4,1036627200,5.0
u_A281NPSIMI1C2R,i_B000052Y33,1052611200,5.0
u_A281NPSIMI1C2R,i_B0000537NH,1052611200,5.0
u_AN81JUYW2SL24,i_B00008BNZ4,1066003200,4.0
u_A3RGN75LHYAG8U,i_B000065DJY,1069459200,5.0
u_A2B7BUH8834Y6M,i_B000052XZP,1071619200,5.0
u_A2B7BUH8834Y6M,i_B00005304H,1071619200,5.0
u_A1IU7S4HCK1XK0,i_B0000AN9L9,1072656000,5.0
u_A1IU7S4HCK1XK0,i_B000089SA4,1072656000,4.0
u_A1IU7S4HCK1XK0,i_B0009VD8YU,1072656000,5.0
u_A281NPSIMI1C2R,i_B00015XAQ0,1073260800,5.0
u_A281NPSIMI1C2R,i_B00016X3G6,1073520000,5.0
u_A3M174IC0VXOS2,i_B002HK2GGM,1073952000,5.0
u_A3M174IC0VXOS2,i_B000C1VT9S,1074988800,5.0
u_A3M174IC0VXOS2,i_B000052ZB1,1076198400,4.0
u_A3M174IC0VXOS2,i_B002DMK0KS,1076630400,4.0
u_A2D914K7LL3TM0,i_B000052YMV,1076976000,5.0
u_A1AMVA4R3G58TV,i_B0000531II,1077840000,5.0
u_A1AMVA4R3G58TV,i_B00008MOQE,1077840000,5.0
u_A1AMVA4R3G58TV,i_B00008PC1O,1077926400,4.0
u_A3M174IC0VXOS2,i_B00007M0CP,1078099200,5.0
u_A1SBVY5DX5ZKUX,i_B000052YLX,1078099200,4.0
u_A1SBVY5DX5ZKUX,i_B000052YOR,1079481600,3.0
u_A3M174IC0VXOS2,i_B001ARQWW2,1082419200,4.0
u_A3M174IC0VXOS2,i_B000BTO6CI,1082851200,5.0
u_A3M174IC0VXOS2,i_B00014D138,1083110400,4.0
u_A3M174IC0VXOS2,i_B0000535U2,1083110400,4.0
u_A3M174IC0VXOS2,i_B000R94OGK,1083283200,4.0
u_A3M174IC0VXOS2,i_B000C1ZA0C,1083369600,5.0
u_A3M174IC0VXOS2,i_B00021C5Y6,1083369600,4.0
u_AK7CAW3N1XZV6,i_B000052YJX,1084233600,4.0
u_AK7CAW3N1XZV6,i_B000XE5TSG,1084320000,5.0
u_A31E0MN0BPGLIE,i_B000YIVSMW,1084838400,5.0
u_A31E0MN0BPGLIE,i_B0002JHI1I,1084838400,5.0
u_A31E0MN0BPGLIE,i_B000BIUGV4,1084838400,4.0
u_A31E0MN0BPGLIE,i_B000BIXP4O,1084838400,4.0
u_A31E0MN0BPGLIE,i_B000FIFJBM,1084838400,5.0
u_A31E0MN0BPGLIE,i_B000Z96JDI,1084838400,5.0
u_A31E0MN0BPGLIE,i_B0011UVCKU,1084838400,5.0
u_A3M174IC0VXOS2,i_B000JBWZR6,1085011200,4.0
u_A281NPSIMI1C2R,i_B00006FE30,1085356800,5.0
u_A281NPSIMI1C2R,i_B00012NEYG,1085356800,5.0
u_A281NPSIMI1C2R,i_B0009EXOXW,1085443200,5.0
u_A1FRBG71Y7L7PB,i_B0009F3OR2,1087689600,5.0
u_AXJTNYD3UK1BP,i_B000052YQU,1088467200,5.0
u_A3N6JG64P2G9EV,i_B000056I89,1088467200,5.0
u_A1Z54EM24Y40LL,i_B0007CXXE6,1088985600,5.0
u_A1Z54EM24Y40LL,i_B00005304H,1089504000,5.0
u_A3M174IC0VXOS2,i_B002KANXHK,1090368000,5.0
u_AX7QMRXX81L9K,i_B001AVWSLW,1091750400,5.0
u_AK7CAW3N1XZV6,i_B00006IV22,1091750400,5.0
u_AQNDWV4YMTBZF,i_B001AVWSLW,1092614400,2.0
u_A1BHCE2409B5QF,i_B000C1Z6GU,1093046400,4.0
u_A2B7BUH8834Y6M,i_B000271KR8,1093651200,5.0
u_A2B7BUH8834Y6M,i_B000052XIA,1093651200,4.0
u_AQNDWV4YMTBZF,i_B0000ZLEFU,1094774400,3.0
u_A1UGYU7MRZXXMJ,i_B00017XWJ8,1095465600,5.0
u_A281NPSIMI1C2R,i_B00005LBRT,1095724800,5.0
u_A281NPSIMI1C2R,i_B0002JHI1I,1095724800,5.0
u_AXJTNYD3UK1BP,i_B0000530LV,1095984000,4.0
u_A281NPSIMI1C2R,i_B00013YYS0,1097884800,5.0
u_A1K5DUV1L52MUD,i_B0009STDD8,1098489600,5.0
u_A1K5DUV1L52MUD,i_B000629ZHG,1098489600,4.0
u_A281NPSIMI1C2R,i_B0002JGU30,1098748800,5.0
u_A2IQ2DVZK4YZCW,i_B0000632EE,1098835200,5.0
u_A1GTSEGAXWRSO8,i_B0001Y74XG,1099094400,5.0
u_A3M174IC0VXOS2,i_B0002260N2,1099180800,4.0
u_A281NPSIMI1C2R,i_B0000535U2,1099353600,5.0
u_A27493GW3TEX65,i_B000674XN2,1099526400,4.0
u_A1ACM1CBGORBN1,i_B00027D6SE,1099526400,3.0
u_A1K5DUV1L52MUD,i_B000052YQU,1099785600,5.0
u_A1K5DUV1L52MUD,i_B000052YMV,1099785600,4.0
u_A3M174IC0VXOS2,i_B000C2359E,1102032000,4.0
u_A27493GW3TEX65,i_B000C21BT0,1102982400,5.0
u_A27493GW3TEX65,i_B000674Z8A,1103500800,5.0
u_A3M174IC0VXOS2,i_B000629ZHG,1103673600,4.0
u_A1WSQ0QRWQC7VI,i_B00092M2ZU,1104278400,5.0
u_A2X3OBHN1ICMZJ,i_B0007CXXYG,1106006400,5.0
u_A27493GW3TEX65,i_B000674XNM,1106179200,5.0
u_A27493GW3TEX65,i_B00067EJ4U,1106179200,5.0
u_A27493GW3TEX65,i_B000629ZHG,1106265600,5.0
u_A1FMWLZ9YY91XI,i_B000674Z8A,1106524800,5.0
u_A1GWUSPAM0RJVB,i_B0009OAGXI,1106956800,3.0
u_A2MNUZHMGVN5G2,i_B0006GZAKI,1107043200,5.0
u_A2MNUZHMGVN5G2,i_B0006GZCVK,1107043200,5.0
u_A2MNUZHMGVN5G2,i_B001AWDWWA,1107043200,5.0
u_A2MNUZHMGVN5G2,i_B001AWL010,1107043200,3.0
u_A1SYLII0808HD6,i_B000FGDIAS,1107129600,4.0
u_A1P4F6HIXU6WYE,i_B001UHN0HM,1107216000,5.0
u_A1RECBDKHVOJMW,i_B0002260N2,1107388800,5.0
u_A2X3OBHN1ICMZJ,i_B00067EJ4U,1108080000,5.0
u_A1Z54EM24Y40LL,i_B0006ZHCK0,1108339200,5.0
u_A1P4F6HIXU6WYE,i_B000F0GNT2,1108684800,5.0
u_A3M174IC0VXOS2,i_B000C1Z19M,1109635200,4.0
u_ABWQP3ABN4EK6,i_B000052ZB1,1109808000,5.0
u_A281NPSIMI1C2R,i_B0009EILVM,1110585600,5.0
u_A281NPSIMI1C2R,i_B00014DIKE,1110585600,5.0
u_A13STKDYQO5DQ8,i_B0009F3O8Q,1110931200,5.0
u_A13STKDYQO5DQ8,i_B000C1VT3Y,1110931200,5.0
u_A1P4F6HIXU6WYE,i_B0000Y3FQC,1111536000,5.0
u_A1P4F6HIXU6WYE,i_B000ALBKGW,1111536000,5.0
u_A2W10YRC8CWAD7,i_B0000531NU,1112140800,5.0
u_A2W10YRC8CWAD7,i_B000052YMT,1112140800,5.0
u_A2W10YRC8CWAD7,i_B0000530LO,1112140800,5.0
u_A2W10YRC8CWAD7,i_B000FFT8KS,1113264000,5.0
u_A2W10YRC8CWAD7,i_B000052YMV,1113264000,5.0
u_A1X2LENOF84LCQ,i_B0000CC64W,1113350400,4.0
u_A1Z54EM24Y40LL,i_B0000530M0,1113523200,1.0
u_A1RECBDKHVOJMW,i_B0009OAIIG,1113523200,5.0
u_A3M174IC0VXOS2,i_B000C1UF3Y,1114992000,5.0
u_A11C2ZX984GQW6,i_B0012TCFBA,1115337600,4.0
u_A15A4RX02DDFER,i_B0002TSD08,1115683200,5.0
u_A2MNUZHMGVN5G2,i_B0006GZDE6,1117238400,5.0
u_A1F9Z42CFF9IAY,i_B001CJJ5QS,1117670400,4.0
u_ASGIVOW34XNQS,i_B000KFVY46,1117756800,5.0
u_A2X3OBHN1ICMZJ,i_B00006598X,1118016000,5.0
u_A3M174IC0VXOS2,i_B000BIZSV2,1118275200,5.0
u_A2AZFELROH9QVO,i_B0002XG9X2,1118534400,3.0
u_A3M174IC0VXOS2,i_B0016O94IS,1118707200,5.0
u_A13STKDYQO5DQ8,i_B00081J4P8,1119052800,5.0
u_A13STKDYQO5DQ8,i_B000052YQ2,1119052800,5.0
u_A3UC3YT2E65LZO,i_B000052YKY,1119139200,3.0
u_AK7CAW3N1XZV6,i_B0000536M3,1119312000,5.0
u_A281NPSIMI1C2R,i_B0000536F0,1119484800,5.0
u_A3UC3YT2E65LZO,i_B000052YJM,1119484800,4.0
u_A231FGX8G2Q5EW,i_B000CRGS2A,1119571200,3.0
u_A1DRM3JV6T5O6P,i_B000JVY52Y,1119830400,3.0
u_A2YWRWSLEJRM92,i_B0002OCNMC,1119830400,2.0
u_A2X3OBHN1ICMZJ,i_B000674XN2,1119830400,5.0
u_A2X3OBHN1ICMZJ,i_B00062A0JI,1119830400,4.0
u_A2X3OBHN1ICMZJ,i_B000674XNM,1119830400,4.0
u_A3M174IC0VXOS2,i_B000BIUGSM,1120003200,5.0
u_A1RHVEZJA30HGW,i_B000C1W2DK,1120003200,5.0
u_A3M174IC0VXOS2,i_B000C1VY9I,1120089600,4.0
u_A1RHVEZJA30HGW,i_B000AAC8VO,1120089600,5.0
u_A1SYLII0808HD6,i_B00012NKGS,1120176000,3.0
u_A26R0WOGRMZB22,i_B0002SA9BU,1120176000,5.0
u_A1BHCE2409B5QF,i_B00064A5L4,1120262400,4.0
u_A1BHCE2409B5QF,i_B000C21BT0,1120262400,3.0
u_A29L9B4D8OVD9L,i_B0009V1YR8,1120348800,5.0
u_A1RHVEZJA30HGW,i_B00064A5L4,1120521600,5.0
u_A1RHVEZJA30HGW,i_B000C211H2,1120521600,5.0
u_A1RHVEZJA30HGW,i_B000C1UEOY,1120694400,5.0
u_A13STKDYQO5DQ8,i_B0008IV7BU,1120780800,3.0
u_A1RHVEZJA30HGW,i_B000C21BT0,1120867200,5.0
u_A1RHVEZJA30HGW,i_B000C1VT0W,1120953600,5.0
u_A1X93ES4DITTWK,i_B000142U9E,1121040000,5.0
u_A281NPSIMI1C2R,i_B00006IGL8,1121817600,5.0
u_A3PEOF0GX4EN38,i_B000CRGS2A,1122163200,1.0
u_A1A2F1ZOWOPNJB,i_B00028OC4K,1122336000,5.0
u_A1BHCE2409B5QF,i_B000052YMS,1122422400,5.0
u_A1WKUY7T0EM0GM,i_B0002TSCZY,1122681600,5.0
u_A340T3DDR0ZTZ6,i_B0002JKPA4,1122854400,3.0
u_A1F9Z42CFF9IAY,i_B0008IV7BU,1123200000,5.0
u_A1BHCE2409B5QF,i_B0001VOJWI,1123459200,1.0
u_A1A3M4L3UD8V8B,i_B0009V1YRS,1123891200,4.0
u_A2OW1FKQFPIA5D,i_B0000CDVN6,1123891200,2.0
u_A1RHVEZJA30HGW,i_B00021CNCK,1124064000,5.0
u_A3PV7BY8K747QE,i_B0007W1R58,1124150400,5.0
u_A3PV7BY8K747QE,i_B0000CC64W,1124150400,5.0
u_A3PV7BY8K747QE,i_B00008ZPG9,1124150400,5.0
u_A1RHVEZJA30HGW,i_B0006O2IQ4,1124668800,5.0
u_A1JSLN697CKTUV,i_B0009F3O8Q,1125964800,5.0
u_A2W4UPPE8RUT6Z,i_B000273PEO,1126137600,3.0
u_A2W4UPPE8RUT6Z,i_B0009N35D2,1126137600,3.0
u_A2W4UPPE8RUT6Z,i_B000AAC8VO,1126137600,4.0
u_ADYZOSTF9LZLD,i_B000AADENA,1126396800,5.0
u_AVYEYDC974DMD,i_B000052YM7,1126483200,5.0
u_A1SYLII0808HD6,i_B0002TSCZY,1126483200,5.0
u_A3R11XXC7MVNYW,i_B000092OX4,1126483200,5.0
u_A1P27BGF8NAI29,i_B0009OAI8G,1126656000,5.0
u_A19ZE9E4C1L3IY,i_B000FBK5IQ,1126828800,3.0
u_AYOMAHLWRQHUG,i_B000ALCJR6,1127347200,3.0
u_AWBGHDHH7E51F,i_B00178TVXG,1127433600,5.0
u_AK7CAW3N1XZV6,i_B0001VKL7U,1127433600,4.0
u_A1RHVEZJA30HGW,i_B0009OAHIW,1127520000,5.0
u_A1RHVEZJA30HGW,i_B000273PEO,1127520000,5.0
u_A281NPSIMI1C2R,i_B00005375C,1128211200,5.0
u_A281NPSIMI1C2R,i_B0000AJ3PU,1128211200,5.0
u_A1IU7S4HCK1XK0,i_B000052ZBD,1128211200,5.0
u_A281NPSIMI1C2R,i_B0000535RA,1128211200,5.0
u_A281NPSIMI1C2R,i_B000BR766S,1128297600,5.0
u_ASGIVOW34XNQS,i_B002DMK0KS,1128384000,5.0
u_ASGIVOW34XNQS,i_B00012NI7E,1128384000,5.0
u_A1RECBDKHVOJMW,i_B0002260DW,1129075200,5.0
u_A1RECBDKHVOJMW,i_B000BTO6CI,1129075200,5.0
u_A28TWWUAWFVCTR,i_B00005A43X,1129161600,3.0
u_A356TJCTCLDN89,i_B000GNUUCO,1129420800,5.0
u_A3M174IC0VXOS2,i_B0006BDMIU,1129593600,4.0
u_A1VCPMT1RRS7K0,i_B0009OAGXI,1129593600,5.0
u_A10Z8FC0SMU5VQ,i_B0002260DW,1129680000,5.0
u_A10Z8FC0SMU5VQ,i_B0002260L4,1129680000,5.0
u_A2DCS7ORDHO1RQ,i_B002NMI4AG,1129680000,2.0
u_A4HI1DDZN54S1,i_B000ALCJR6,1129939200,5.0
