from,to,timestamp,value
u_259,i_255,874724710,4.0
u_259,i_286,874724727,4.0
u_259,i_298,874724754,4.0
u_259,i_185,874724781,4.0
u_259,i_173,874724843,4.0
u_259,i_108,874724882,4.0
u_259,i_772,874724882,4.0
u_259,i_288,874724905,3.0
u_259,i_928,874724937,4.0
u_259,i_117,874724988,4.0
u_259,i_200,874725081,4.0
u_259,i_405,874725120,3.0
u_259,i_1074,874725264,3.0
u_259,i_176,874725386,4.0
u_259,i_357,874725485,5.0
u_259,i_210,874725485,4.0
u_851,i_687,874728168,2.0
u_851,i_696,874728338,3.0
u_851,i_284,874728338,3.0
u_851,i_295,874728370,5.0
u_851,i_473,874728396,4.0
u_851,i_544,874728396,4.0
u_851,i_290,874728430,4.0
u_851,i_147,874728461,4.0
u_851,i_121,874728565,4.0
u_851,i_717,874728598,3.0
u_712,i_220,874729682,5.0
u_712,i_1040,874729682,4.0
u_712,i_510,874729749,2.0
u_712,i_50,874729750,4.0
u_712,i_731,874729750,5.0
u_712,i_417,874729750,4.0
u_712,i_623,874729778,4.0
u_712,i_385,874729778,5.0
u_712,i_66,874729816,5.0
u_712,i_97,874729816,5.0
u_712,i_553,874729850,5.0
u_712,i_969,874729850,4.0
u_712,i_79,874729850,4.0
u_712,i_96,874729850,5.0
u_712,i_181,874729901,5.0
u_712,i_173,874729901,5.0
u_712,i_172,874729901,5.0
u_712,i_42,874729935,1.0
u_712,i_402,874729935,4.0
u_712,i_498,874729935,3.0
u_712,i_234,874729935,2.0
u_712,i_421,874729935,4.0
u_712,i_739,874729935,4.0
u_712,i_423,874729960,3.0
u_712,i_99,874729995,4.0
u_712,i_174,874729995,5.0
u_712,i_692,874729995,5.0
u_712,i_812,874729996,4.0
u_712,i_1220,874729996,5.0
u_712,i_392,874729996,5.0
u_712,i_61,874730031,3.0
u_712,i_82,874730031,5.0
u_712,i_215,874730031,3.0
u_712,i_202,874730031,4.0
u_712,i_432,874730056,4.0
u_712,i_195,874730085,3.0
u_712,i_462,874730085,3.0
u_712,i_69,874730085,3.0
u_712,i_746,874730085,4.0
u_712,i_776,874730155,4.0
u_712,i_88,874730155,4.0
u_712,i_1055,874730155,4.0
u_712,i_177,874730155,2.0
u_712,i_4,874730179,4.0
u_712,i_785,874730206,5.0
u_712,i_238,874730206,3.0
u_712,i_1469,874730206,4.0
u_712,i_365,874730234,3.0
u_712,i_419,874730234,3.0
u_712,i_660,874730234,4.0
u_712,i_585,874730234,4.0
u_712,i_1503,874730235,4.0
u_712,i_560,874730261,3.0
u_712,i_72,874730261,4.0
u_712,i_228,874730261,3.0
u_712,i_71,874730261,5.0
u_712,i_73,874730293,5.0
u_712,i_622,874730293,4.0
u_712,i_210,874730293,5.0
u_712,i_393,874730320,3.0
u_712,i_662,874730320,5.0
u_712,i_141,874730320,3.0
u_712,i_584,874730342,4.0
u_712,i_732,874730370,5.0
u_712,i_949,874730370,4.0
u_712,i_378,874730370,4.0
u_712,i_716,874730370,5.0
u_712,i_191,874730396,3.0
u_712,i_196,874730396,4.0
u_712,i_83,874730396,4.0
u_712,i_59,874730420,2.0
u_712,i_136,874730443,1.0
u_712,i_230,874730467,3.0
u_712,i_655,874730467,5.0
u_712,i_404,874730467,3.0
u_712,i_1053,874730490,4.0
u_712,i_568,874730491,5.0
u_712,i_941,874730491,5.0
u_712,i_729,874730491,5.0
u_712,i_60,874730520,1.0
u_712,i_506,874730520,3.0
u_712,i_495,874730520,4.0
u_712,i_946,874730521,4.0
u_712,i_486,874730521,4.0
u_712,i_747,874730552,3.0
u_712,i_431,874730552,3.0
u_712,i_95,874730552,4.0
u_712,i_418,874730553,3.0
u_712,i_38,874730553,4.0
u_851,i_111,874767408,3.0
u_851,i_1014,874767408,3.0
u_851,i_845,874767408,3.0
u_851,i_742,874767519,5.0
u_851,i_815,874767550,3.0
u_851,i_824,874767550,4.0
u_851,i_405,874767550,5.0
u_119,i_300,874774286,5.0
u_119,i_286,874774286,5.0
u_119,i_322,874774449,4.0
u_119,i_323,874774449,4.0
u_119,i_275,874774575,5.0
u_119,i_866,874774575,3.0
u_119,i_458,874774575,5.0
u_119,i_100,874774575,5.0
u_119,i_50,874774718,5.0
u_119,i_455,874774719,4.0
u_119,i_741,874774815,4.0
u_119,i_235,874774956,5.0
u_119,i_813,874774956,4.0
u_119,i_718,874774956,5.0
u_119,i_277,874774993,4.0
u_119,i_298,874775038,4.0
u_119,i_237,874775038,5.0
u_119,i_1086,874775136,4.0
u_119,i_412,874775136,4.0
u_119,i_282,874775136,5.0
u_119,i_628,874775185,4.0
u_119,i_7,874775185,5.0
u_119,i_276,874775262,2.0
u_119,i_1016,874775262,5.0
u_119,i_93,874775262,4.0
u_119,i_125,874775262,5.0
u_119,i_222,874775311,5.0
u_119,i_121,874775311,4.0
u_119,i_829,874775406,5.0
u_119,i_982,874775406,4.0
u_119,i_823,874775406,3.0
u_119,i_742,874775406,5.0
u_119,i_181,874775406,4.0
u_119,i_472,874775406,4.0
u_119,i_762,874775465,4.0
u_119,i_597,874775465,4.0
u_119,i_287,874775465,4.0
u_119,i_117,874775535,5.0
u_119,i_924,874775535,4.0
u_119,i_826,874775580,4.0
u_119,i_475,874775580,4.0
u_119,i_109,874775580,5.0
u_119,i_274,874775580,4.0
u_119,i_257,874775614,4.0
u_119,i_473,874775647,3.0
u_119,i_1202,874775680,4.0
u_119,i_250,874775731,2.0
u_119,i_405,874775815,4.0
u_119,i_827,874775815,3.0
u_119,i_105,874775849,2.0
u_119,i_255,874775914,3.0
u_119,i_546,874775914,4.0
u_119,i_930,874775945,3.0
u_119,i_717,874775945,3.0
u_119,i_1034,874775980,3.0
u_119,i_831,874775980,2.0
u_640,i_790,874777260,4.0
u_640,i_11,874777440,4.0
u_640,i_12,874777491,5.0
u_640,i_496,874777491,4.0
u_640,i_56,874777528,5.0
u_640,i_382,874777528,4.0
u_640,i_180,874777528,5.0
u_640,i_170,874777583,5.0
u_640,i_134,874777623,5.0
u_640,i_474,874777623,4.0
u_640,i_770,874777658,4.0
u_640,i_64,874777701,5.0
u_640,i_175,874777735,5.0
u_640,i_47,874777735,4.0
u_640,i_81,874777735,5.0
u_640,i_55,874777765,5.0
u_640,i_461,874777833,4.0
